紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
骨痛灵酊,骨痛灵酊，商品名骨康王。温经散寒，祛风活血，通络止痛。适用于腰、颈椎骨质增生，骨性关节病，肩周炎，风湿性关节炎。
对乙酰氨基酚缓释片,对乙酰氨基酚缓释片（Paracetamol Sustained Release Tablets），商品名倍乐信。适用于感冒引起的发热、头痛以及缓解轻中度疼痛如关节痛、肌肉痛、神经痛、偏头痛、牙痛、痛经。
藿香正气水,藿香正气水，解表化湿，理气和中。用于外感风寒、内伤湿滞或夏伤暑湿所致的感冒，症见头痛昏重、胸膈痞闷、脘腹胀痛、呕吐泄泻；胃肠型感冒见上述证候者。
上清丸,上清丸，清热散风，解毒，通便。用于头晕耳鸣，目赤，鼻窦炎，口舌生疮，牙龈肿痛，大便秘结。
脑血康胶囊,脑血康胶囊，活血化瘀，破血散结。用于中风，半身不遂，口眼歪斜，舌强语謇，舌紫暗，有瘀斑，更适用于高血压脑出血后的脑血肿，脑血栓等。
羧甲司坦片,羧甲司坦片（Carbocisteine Tablets），用于治疗慢性支气管炎、支气管哮喘等疾病引起的痰液粘稠、咳痰困难患者。
麻仁丸,麻仁丸，润肠通便。用于肠热津亏所致的便秘，症见大便干结难下、腹部胀满不舒;习惯性便秘见上述证候者。
氢溴酸东莨菪碱片,氢溴酸东莨菪碱片（Scopolamine Hydrobromide Tablets），用于麻醉前给药，震颤麻痹，晕动病，躁狂性精神病，胃肠胆肾平滑肌痉挛，胃酸分泌过多，感染性休克，有机磷农药中毒。
苄达赖氨酸滴眼液,苄达赖氨酸滴眼液（Bendazac Lysine Eye Drops），商品名莎普爱思。早期老年性白内障。
静脉注射用人免疫球蛋白,静脉注射用人免疫球蛋白系由乙型肝炎疫苗免疫健康人的血浆经低温乙醇法提取的组分，沉淀再加工去除抗补体活性，并经巴氏灭活病毒及低PH孵放处理制成的专供静脉输注的正常人免疫球蛋白液体制剂。　　
化积口服液,化积口服液，用于脾胃虚弱所致的疳积，症见面黄肌瘦、腹胀腹痛、厌食或食欲不振、大便失调。
五妙水仙膏,五妙水仙膏，本品具有去腐生新，清热解毒的作用。主治毛囊炎、结节性痒疹、寻常疣、神经性皮炎等。
氨茶碱氯化钠注射液,氨茶碱氯化钠注射液（Aminophylline and Sodium Chloride Injection），适用于支气管哮喘，喘息型支气管炎、阻塞性肺气肿等缓解喘息症状，也可用于急性心功能不全和心源性哮喘。
伤科接骨片,伤科接骨片，活血化瘀，消肿止痛，舒筋壮骨。用于跌打损伤，闪腰岔气，伤筋动骨，瘀血肿痛，损伤红肿等症。对骨折患者需经复位后配合使用。
六味壮骨颗粒,六味壮骨颗粒，养肝补肾，强筋壮骨。用于骨质疏松证属肝肾不足者，症见腰脊酸痛，足膝酸软，乏力。
复方氨酚烷胺胶囊,复方氨酚烷胺胶囊（Compound Paracetamot and Amantadine Hydrochloride Capsules），商品名快克、仁和可立克、必利康、盖克、冒克、轻克、永龙速效感冒胶囊、感诺、快康、万立克、捷瑞宁。适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。
阑尾灵颗粒,阑尾灵颗粒，清热解毒，泻下通便，破瘀散结，理气止痛，用于急性单纯性阑尾炎（瘀滞型）、急性化脓性阑尾炎早期（蕴热型）。
葡萄糖氯化钠注射液,葡萄糖氯化钠注射液（Glucose and Sodium Chloride Injection），补充热能和体液。用于各种原因引起的进食不足或大量体液丢失。
